,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,115.54790496826172,134.92279052734375,38.556861877441406,198.0800018310547,125.9000015258789,154.5,42.880001068115234,198.0800018310547,128.39999389648438,155.49000549316406,42.97999954223633,198.99000549316406,125.16000366210938,154.47999572753906,42.4900016784668,195.6199951171875,128.25,155.0399932861328,42.560001373291016,197.4499969482422,68695100,4464300,71904500,4269500
2015-03-23,116.75016784667969,133.44692993164062,38.538875579833984,199.6300048828125,127.20999908447266,152.80999755859375,42.86000061035156,199.6300048828125,127.8499984741211,154.97999572753906,43.130001068115234,200.5,126.5199966430664,152.80999755859375,42.779998779296875,197.47000122070312,127.12000274658203,154.97999572753906,42.880001068115234,198.5,37709700,3029700,26246100,2631600
2015-03-24,116.27291107177734,132.4338836669922,38.57483673095703,201.72000122070312,126.69000244140625,151.64999389648438,42.900001525878906,201.72000122070312,128.0399932861328,152.6199951171875,43.16999816894531,203.7899932861328,126.55999755859375,151.35000610351562,42.75,199.75,127.2300033569336,151.9600067138672,42.779998779296875,201.5800018310547,32842300,3319300,25513300,3649900
2015-03-25,113.23509979248047,129.44725036621094,37.2800178527832,194.3000030517578,123.37999725341797,148.22999572753906,41.459999084472656,194.3000030517578,126.81999969482422,152.0399932861328,42.93000030517578,198.58999633789062,123.37999725341797,148.1300048828125,41.439998626708984,192.6999969482422,126.54000091552734,151.39999389648438,42.91999816894531,198.27000427246094,51655200,3747900,43469900,5730400
2015-03-26,114.02436828613281,129.39486694335938,37.05521774291992,190.41000366210938,124.23999786376953,148.1699981689453,41.209999084472656,190.41000366210938,124.87999725341797,148.85000610351562,41.61000061035156,194.7899932861328,122.5999984741211,145.9600067138672,40.91999816894531,189.6999969482422,122.76000213623047,147.8300018310547,41.220001220703125,193.9199981689453,47572900,3627400,37495600,4128000
2015-03-27,113.11578369140625,129.98867797851562,36.83942413330078,185.0,123.25,148.85000610351562,40.970001220703125,185.0,124.69999694824219,149.30999755859375,41.43000030517578,189.2899932861328,122.91000366210938,147.49000549316406,40.83000183105469,181.39999389648438,124.56999969482422,148.58999633789062,41.119998931884766,189.07000732421875,39546200,2600300,34401400,8604900
2015-03-30,115.97924041748047,133.35086059570312,36.83043670654297,190.57000732421875,126.37000274658203,152.6999969482422,40.959999084472656,190.57000732421875,126.4000015258789,153.1699981689453,41.540000915527344,192.25,124.0,149.97999572753906,40.90999984741211,181.8000030517578,124.05000305175781,150.0800018310547,41.099998474121094,185.85000610351562,47099700,3738700,35049700,10089500
2015-03-31,114.19874572753906,131.06285095214844,36.5606689453125,188.77000427246094,124.43000030517578,150.0800018310547,40.65999984741211,188.77000427246094,126.48999786376953,152.25,41.029998779296875,193.75999450683594,124.36000061035156,149.94000244140625,40.540000915527344,188.41000366210938,126.08999633789062,152.22999572753906,40.779998779296875,193.52999877929688,42090600,2975600,34887200,5026600
2015-04-01,114.03356170654297,129.8052978515625,36.61463165283203,187.58999633789062,124.25,148.63999938964844,40.720001220703125,187.58999633789062,125.12000274658203,150.02000427246094,40.7599983215332,192.3000030517578,123.0999984741211,146.82000732421875,40.310001373291016,186.0500030517578,124.81999969482422,149.97000122070312,40.599998474121094,188.6999969482422,40621400,4167600,36865300,3794600
2015-04-02,115.01556396484375,130.3642120361328,36.227989196777344,191.0,125.31999969482422,149.27999877929688,40.290000915527344,191.0,125.55999755859375,150.5,40.7400016784668,193.22999572753906,124.19000244140625,148.30999755859375,40.119998931884766,190.0,125.02999877929688,149.13999938964844,40.65999984741211,190.22999572753906,32220100,2934200,37487500,5010400
2015-04-06,116.87864685058594,131.80508422851562,37.36094284057617,203.10000610351562,127.3499984741211,150.92999267578125,41.54999923706055,203.10000610351562,127.51000213623047,151.4499969482422,41.779998779296875,207.75,124.33000183105469,148.0,40.18000030517578,197.5,124.47000122070312,148.14999389648438,40.34000015258789,198.0,37194000,3371500,39223700,12455800
2015-04-07,115.64884948730469,133.0189971923828,37.34294891357422,203.25,126.01000213623047,152.32000732421875,41.529998779296875,203.25,128.1199951171875,153.5,41.90999984741211,205.05999755859375,125.9800033569336,151.13999938964844,41.310001373291016,201.13999938964844,127.63999938964844,151.27000427246094,41.61000061035156,202.50999450683594,35012300,4299500,28809400,4347900
2015-04-08,115.27254486083984,133.92721557617188,37.24404525756836,207.6699981689453,125.5999984741211,153.36000061035156,41.41999816894531,207.6699981689453,126.4000015258789,153.5,41.689998626708984,210.89999389648438,124.97000122070312,152.19000244140625,41.040000915527344,205.8699951171875,125.8499984741211,152.19000244140625,41.459999084472656,208.1999969482422,37329200,2763400,24753400,6303100
2015-04-09,116.15361785888672,133.97959899902344,37.29800796508789,210.08999633789062,126.55999755859375,153.4199981689453,41.47999954223633,210.08999633789062,126.58000183105469,153.6699981689453,41.619998931884766,210.3699951171875,124.66000366210938,151.6300048828125,41.25,206.1199951171875,125.8499984741211,152.6199951171875,41.25,208.42999267578125,32484000,3966800,25723900,3800200
2015-04-10,116.64921569824219,134.81797790527344,37.51380157470703,210.89999389648438,127.0999984741211,154.3800048828125,41.720001220703125,210.89999389648438,127.20999908447266,154.9600067138672,41.95000076293945,211.64999389648438,125.26000213623047,153.25,41.40999984741211,209.0,125.94999694824219,153.5500030517578,41.630001068115234,209.85000610351562,40188000,3183000,28022000,4067700
2015-04-13,116.41976928710938,133.8223876953125,37.54977035522461,209.77999877929688,126.8499984741211,153.24000549316406,41.7599983215332,209.77999877929688,128.57000732421875,155.5,42.060001373291016,213.0,126.61000061035156,152.9600067138672,41.38999938964844,209.0500030517578,128.3699951171875,153.7899932861328,41.400001525878906,210.44000244140625,36365100,3034000,30276700,3758200
2015-04-14,115.91498565673828,133.79623413085938,37.45086669921875,207.4600067138672,126.30000305175781,153.2100067138672,41.650001525878906,207.4600067138672,127.29000091552734,153.5399932861328,42.029998779296875,209.49000549316406,125.91000366210938,151.58999633789062,41.38999938964844,205.5,127.0,152.92999267578125,41.79999923706055,208.57000732421875,25524600,2845800,24244400,3026000
2015-04-15,116.35552215576172,133.1150360107422,37.999366760253906,207.8300018310547,126.77999877929688,152.42999267578125,42.2599983215332,207.8300018310547,127.12999725341797,154.3699951171875,42.459999084472656,209.58999633789062,126.01000213623047,152.2100067138672,41.68000030517578,206.60000610351562,126.41000366210938,154.3699951171875,41.7599983215332,207.4600067138672,28970400,3687400,27343600,1952400
